customer_id,region,total_spent,total_orders,repeat_purchase_flag
CUST00086,East,97861.69,8,Yes
CUST00087,North,159167.45,30,Yes
CUST00088,East,134115.89,97,Yes
CUST00089,West,144767.97,19,Yes
CUST00090,East,153942.25,17,No
CUST00091,East,94518.96,46,No
CUST00092,West,74661.58,37,No
CUST00093,East,86208.65,53,Yes
CUST00094,North,196085.99,63,Yes
CUST00095,East,38991.3,33,Yes
CUST00096,East,34729.06,25,Yes
CUST00097,South,168998.42,67,Yes
CUST00098,East,20338.12,32,No
CUST00099,North,72370.71,27,Yes
CUST00100,East,65187.6,33,Yes
CUST00101,North,142073.29,39,Yes
CUST00102,East,162062.87,99,Yes
CUST00103,West,122691.23,60,Yes
CUST00104,South,100801.74,45,Yes
CUST00105,West,15117.24,16,Yes
CUST00106,East,177436.81,15,Yes
CUST00107,North,19702.41,87,No
CUST00108,West,66302.38,58,Yes
CUST00109,East,58021.71,58,No
CUST00110,West,50800.02,42,No
CUST00111,North,72677.94,60,Yes
CUST00112,South,165745.93,60,Yes
CUST00113,North,124955.2,68,No
CUST00114,West,39681.63,94,Yes
CUST00115,East,127848.55,52,Yes
CUST00116,East,193937.84,30,Yes
CUST00117,East,80365.36,19,Yes
CUST00118,West,16612.82,90,No
CUST00119,North,167360.04,9,No
CUST00120,North,12580.53,1,Yes
CUST00121,West,48717.68,48,Yes
CUST00122,West,186988.19,1,No
CUST00123,North,147841.49,63,Yes
CUST00124,East,146277.82,67,Yes
CUST00125,East,71838.56,86,Yes
CUST00126,West,24098.46,69,Yes
CUST00127,North,62971.25,62,No
CUST00128,West,95360.59,90,No
CUST00129,West,161575.68,33,Yes
CUST00130,West,130304.96,10,No
CUST00131,North,177449.4,52,Yes
CUST00132,East,125546.12,58,Yes
CUST00133,East,108336.11,4,Yes
CUST00134,South,188834.43,2,Yes
CUST00135,West,117569.34,91,No
CUST00136,North,135756.5,35,Yes
CUST00137,West,92192.33,51,No
CUST00138,East,125561.99,65,No
CUST00139,North,181164.78,44,Yes
CUST00140,East,43703.23,46,Yes
CUST00141,North,19794.15,35,Yes
CUST00142,South,131488.8,93,No
CUST00143,North,5631.12,34,Yes
CUST00144,North,99711.45,58,No
CUST00145,West,126159.63,29,Yes
CUST00146,North,84171.26,36,Yes
CUST00147,West,150372.34,64,Yes
CUST00148,East,146597.9,36,Yes
CUST00149,South,155506.18,24,No
CUST00150,South,112811.47,12,Yes
CUST00151,East,150423.34,89,Yes
CUST00152,West,76168.05,62,Yes
CUST00153,East,78534.0,13,No
CUST00154,North,78451.13,12,No
CUST00155,North,169581.49,9,Yes
CUST00156,South,190062.33,52,Yes
CUST00157,North,126735.61,69,Yes
CUST00158,East,66404.24,85,No
CUST00159,North,158524.23,57,Yes
CUST00160,West,186254.89,58,Yes
CUST00161,North,110356.25,5,No
CUST00162,South,109637.24,75,Yes
CUST00163,North,29455.34,74,No
CUST00164,South,173506.87,7,Yes
CUST00165,South,45292.71,9,No
CUST00166,North,141542.2,5,Yes
CUST00167,North,47412.39,8,Yes
CUST00168,East,74757.79,17,No
CUST00169,South,197214.21,4,Yes
CUST00170,South,141928.06,19,No
CUST00171,West,112122.45,91,Yes
CUST00172,West,66720.25,67,Yes
CUST00173,South,81635.22,58,No
CUST00174,West,153671.78,39,No
CUST00175,East,117090.38,62,Yes
CUST00176,East,96065.26,25,No
CUST00177,North,45495.57,6,No
CUST00178,East,195602.23,45,Yes
CUST00179,South,178337.48,85,No
CUST00180,South,15685.52,99,No
CUST00181,North,16011.47,47,Yes
CUST00182,South,139453.99,31,No
CUST00183,East,139688.09,3,No
CUST00184,West,10043.83,12,No
CUST00185,South,12514.92,76,Yes
CUST00186,North,67796.35,92,Yes
CUST00187,North,78265.41,60,Yes
CUST00188,West,16469.19,41,Yes
CUST00189,South,91194.93,63,Yes
CUST00190,East,62596.0,84,Yes
CUST00191,East,54920.57,13,No
CUST00192,South,164684.91,82,Yes
CUST00193,West,116651.36,25,Yes
CUST00194,South,186612.97,5,Yes
CUST00195,West,75916.21,65,Yes
CUST00196,East,197071.92,11,Yes
CUST00197,West,76797.28,86,No
CUST00198,West,114247.21,33,Yes
CUST00199,South,83549.08,1,Yes
CUST00200,East,15996.45,92,No
CUST00201,East,199943.82,3,Yes
CUST00202,East,154028.5,37,No
CUST00203,North,76192.26,85,Yes
CUST00204,West,26702.72,51,Yes
CUST00205,South,42238.3,65,No
CUST00206,West,124007.52,92,Yes
CUST00207,West,5414.76,34,Yes
CUST00208,South,166442.93,50,No
CUST00209,North,110829.46,5,Yes
CUST00210,West,158571.75,17,Yes
CUST00211,East,6727.75,79,No
CUST00212,East,128232.91,75,Yes
CUST00213,West,28137.92,98,Yes
CUST00214,South,118393.62,30,Yes
CUST00215,East,19109.42,98,Yes
CUST00216,North,103283.91,88,No
CUST00217,East,60293.93,51,No
CUST00218,South,159497.88,10,No
CUST00219,South,98931.14,84,Yes
CUST00220,South,196026.48,53,Yes
CUST00221,North,42617.03,43,Yes
CUST00222,North,16096.8,23,Yes
CUST00223,South,31228.64,16,Yes
CUST00224,South,37194.14,56,Yes
CUST00225,South,174989.2,27,No
CUST00226,South,35291.65,51,Yes
CUST00227,West,34618.08,92,Yes
CUST00228,East,7329.13,70,Yes
CUST00229,East,92694.97,90,No
CUST00230,North,26620.93,90,No
CUST00231,East,8823.12,47,Yes
CUST00232,North,17270.05,94,Yes
CUST00233,West,76079.91,81,Yes
CUST00234,West,161434.05,99,Yes
CUST00235,North,42660.52,56,Yes
CUST00236,North,124032.7,87,Yes
CUST00237,West,144382.7,26,Yes
CUST00238,West,51234.95,7,No
CUST00239,East,169043.69,18,Yes
CUST00240,West,106990.84,15,Yes
CUST00241,North,147743.64,28,Yes
CUST00242,West,65093.75,86,Yes
CUST00243,South,24832.66,17,Yes
CUST00244,North,95320.02,10,No
CUST00245,South,100190.0,86,Yes
CUST00246,North,149342.46,83,Yes
CUST00247,East,68151.92,52,Yes
CUST00248,West,114584.88,56,Yes
CUST00249,West,66739.35,33,Yes
CUST00250,North,45841.23,70,Yes
CUST00251,North,32975.59,75,Yes
CUST00252,North,161367.11,24,No
CUST00253,South,16966.52,31,Yes
CUST00254,North,196493.34,95,No
CUST00255,East,115623.69,75,No
CUST00256,North,163597.34,94,Yes
CUST00257,North,134060.0,57,No
CUST00258,South,107472.31,26,Yes
CUST00259,South,154129.09,70,No
CUST00260,South,142479.54,84,Yes
CUST00261,South,49239.54,47,No
CUST00262,North,153788.12,38,Yes
CUST00263,South,31718.18,77,Yes
CUST00264,East,11312.88,50,Yes
CUST00265,West,110172.02,10,No
CUST00266,South,65148.42,2,Yes
CUST00267,East,28626.13,73,No
CUST00268,South,119532.11,24,Yes
CUST00269,North,159063.6,95,No
CUST00270,South,166293.26,50,Yes
CUST00271,West,146442.63,9,Yes
CUST00272,North,76466.49,1,No
CUST00273,East,115320.15,64,No
CUST00274,South,165760.24,14,No
CUST00275,West,165201.4,37,No
CUST00276,South,133374.25,26,No
CUST00277,East,63923.12,42,Yes
CUST00278,West,163503.29,39,No
CUST00279,North,180033.82,38,Yes
CUST00280,South,88310.19,97,Yes
CUST00281,East,180015.34,66,Yes
CUST00282,West,181387.95,51,Yes
CUST00283,East,86874.1,67,Yes
CUST00284,West,67646.22,64,Yes
CUST00285,South,175847.19,33,Yes
CUST00286,East,178884.62,36,No
CUST00287,East,150728.22,27,No
CUST00288,East,7672.95,86,No
CUST00289,North,99302.32,74,Yes
CUST00290,East,164430.2,31,Yes
CUST00291,North,91943.04,52,Yes
CUST00292,East,159661.78,5,Yes
CUST00293,South,82382.08,45,No
CUST00294,East,128588.38,36,Yes
CUST00295,East,51108.01,69,No
CUST00296,North,191855.88,38,Yes
CUST00297,West,85295.78,90,No
CUST00298,East,31516.93,13,Yes
CUST00299,South,21058.13,97,Yes
CUST00300,South,174552.66,76,Yes
CUST00301,North,183831.35,5,No
CUST00302,South,141740.49,92,Yes
CUST00303,North,14715.39,51,No
CUST00304,South,186939.04,86,No
CUST00305,West,25439.35,21,Yes
CUST00306,West,38077.86,87,No
CUST00307,North,174109.38,55,Yes
CUST00308,East,121970.98,47,Yes
CUST00309,South,67704.25,52,No
CUST00310,North,121140.58,35,Yes
CUST00311,South,107941.72,75,No
CUST00312,East,93674.32,91,No
CUST00313,East,90991.37,43,Yes
CUST00314,South,182637.14,54,Yes
CUST00315,East,100175.19,70,Yes
CUST00316,North,62983.16,29,Yes
CUST00317,North,126820.59,28,Yes
CUST00318,East,103519.56,81,No
CUST00319,East,30583.88,86,Yes
CUST00320,North,199377.98,49,Yes
CUST00321,North,62677.45,94,No
CUST00322,North,42771.21,83,Yes
CUST00323,South,94178.13,49,Yes
CUST00324,North,94941.32,40,Yes
CUST00325,West,59514.89,47,Yes
CUST00326,East,107356.72,94,Yes
CUST00327,West,31892.81,1,Yes
CUST00328,South,16025.17,3,Yes
CUST00329,North,54878.19,34,Yes
CUST00330,South,6051.88,92,No
CUST00331,South,173531.76,8,Yes
CUST00332,East,45172.46,88,Yes
CUST00333,East,101596.07,72,Yes
CUST00334,South,160183.3,67,No
CUST00335,South,111787.6,8,Yes
CUST00336,East,49391.27,78,Yes
CUST00337,South,161563.18,16,Yes
CUST00338,South,133948.94,85,Yes
CUST00339,South,65474.02,82,Yes
CUST00340,East,18016.2,23,No
CUST00341,West,25432.6,19,Yes
CUST00342,North,84863.49,2,No
CUST00343,West,125327.49,11,Yes
CUST00344,South,76558.79,87,Yes
CUST00345,South,166300.25,37,Yes
CUST00346,South,110857.39,98,No
CUST00347,East,44682.59,86,No
CUST00348,West,23733.35,30,Yes
CUST00349,North,179015.89,96,Yes
CUST00350,East,5471.39,14,No
CUST00351,East,140070.32,25,Yes
CUST00352,North,28731.86,4,Yes
CUST00353,West,180213.89,98,Yes
CUST00354,East,4659.74,18,Yes
CUST00355,West,163195.83,41,Yes
CUST00356,North,111281.42,25,Yes
CUST00357,South,144320.31,86,Yes
CUST00358,East,180103.71,6,No
CUST00359,North,50895.4,53,Yes
CUST00360,East,182967.98,26,Yes
CUST00361,South,154411.36,46,Yes
CUST00362,East,34090.39,65,Yes
CUST00363,South,121027.27,26,Yes
CUST00364,South,167578.72,11,Yes
CUST00365,South,144090.14,39,Yes
CUST00366,West,189912.05,55,No
CUST00367,South,187429.12,69,Yes
CUST00368,East,54712.33,20,Yes
CUST00369,North,168464.4,81,Yes
CUST00370,South,119771.73,98,Yes
CUST00371,South,95373.22,73,Yes
CUST00372,West,145909.56,89,No
CUST00373,West,120058.93,25,Yes
CUST00374,North,164001.36,44,No
CUST00375,North,2045.51,12,Yes
CUST00376,South,19224.83,49,Yes
CUST00377,North,190097.23,55,Yes
CUST00378,South,18254.34,80,No
CUST00379,North,146712.75,21,No
CUST00380,South,145096.56,80,No
CUST00381,North,50683.93,89,Yes
CUST00382,West,138941.87,26,Yes
CUST00383,East,141409.46,71,No
CUST00384,West,111605.51,86,No
CUST00385,North,7755.25,7,Yes
CUST00386,South,184954.84,59,No
CUST00387,West,95368.63,94,Yes
CUST00388,West,91573.59,59,No
CUST00389,East,8364.52,31,Yes
CUST00390,North,112574.76,45,Yes
CUST00391,West,139561.47,40,Yes
CUST00392,East,81492.6,39,Yes
CUST00393,South,108358.77,93,No
CUST00394,North,147833.3,33,No
CUST00395,South,123556.77,66,Yes
CUST00396,East,174149.68,30,Yes
CUST00397,East,37909.11,18,No
CUST00398,West,159957.86,39,Yes
CUST00399,North,11484.08,93,Yes
CUST00400,West,96476.48,16,No
CUST00401,South,196832.61,10,Yes
CUST00402,North,67937.72,84,No
CUST00403,South,48516.65,3,Yes
CUST00404,South,60103.57,68,No
CUST00405,East,118232.6,48,Yes
CUST00406,East,197556.76,73,Yes
CUST00407,East,78934.4,68,Yes
CUST00408,West,190042.28,61,Yes
CUST00409,North,118122.29,39,No
CUST00410,South,189001.67,11,No
CUST00411,West,197847.8,71,No
CUST00412,East,47102.67,20,No
CUST00413,East,46883.27,74,Yes
CUST00414,South,77434.03,41,Yes
CUST00415,West,156137.31,6,No
CUST00416,West,126325.81,87,No
CUST00417,South,185622.7,61,Yes
CUST00418,West,103534.34,82,No
CUST00419,North,31625.29,32,Yes
CUST00420,South,124964.54,89,Yes
CUST00421,West,116437.16,98,Yes
CUST00422,West,78842.78,92,Yes
CUST00423,West,9830.96,98,No
CUST00424,North,162093.7,40,No
CUST00425,East,147307.32,98,Yes
CUST00426,North,75165.01,72,No
CUST00427,West,10707.93,18,Yes
CUST00428,West,44816.46,77,No
CUST00429,West,198303.59,40,No
CUST00430,North,103699.73,58,Yes
CUST00431,South,132760.29,40,Yes
CUST00432,North,54138.63,6,Yes
CUST00433,South,173764.0,92,No
CUST00434,East,173591.55,41,Yes
CUST00435,South,48499.32,53,No
CUST00436,West,124103.66,38,Yes
CUST00437,East,176445.79,45,No
CUST00438,North,6820.21,23,Yes
CUST00439,North,164169.44,53,No
CUST00440,East,32991.22,2,No
CUST00441,North,101986.08,39,Yes
CUST00442,North,17735.55,27,No
CUST00443,East,126730.89,95,Yes
CUST00444,East,2805.41,35,Yes
CUST00445,South,57385.25,71,Yes
CUST00446,West,192635.41,63,Yes
CUST00447,West,36719.97,37,Yes
CUST00448,West,187508.47,96,No
CUST00449,South,189512.28,64,No
CUST00450,East,14402.77,10,Yes
CUST00451,North,12526.17,82,No
CUST00452,North,194724.3,29,Yes
CUST00453,South,129867.16,52,No
CUST00454,East,5892.8,11,No
CUST00455,West,74994.87,32,No
CUST00456,North,136975.78,26,Yes
CUST00457,West,94239.34,4,Yes
CUST00458,West,90826.02,39,Yes
CUST00459,East,165358.23,75,Yes
CUST00460,East,17393.83,78,Yes
CUST00461,South,27135.69,67,No
CUST00462,South,31060.52,92,No
CUST00463,South,181995.38,59,No
CUST00464,North,152258.72,69,No
CUST00465,West,82457.47,38,Yes
CUST00466,North,43407.84,64,No
CUST00467,South,143269.88,18,No
CUST00468,North,95168.77,72,Yes
CUST00469,East,41536.55,93,No
CUST00470,South,154413.45,46,Yes
CUST00471,North,4554.52,93,Yes
CUST00472,West,7472.71,60,No
CUST00473,East,37906.32,15,Yes
CUST00474,South,24344.33,17,Yes
CUST00475,East,50260.45,9,Yes
CUST00476,North,98827.31,63,No
CUST00477,West,65859.17,2,No
CUST00478,North,62762.03,77,Yes
CUST00479,West,93455.12,94,Yes
CUST00480,East,96507.83,95,No
CUST00481,North,131739.79,89,No
CUST00482,South,156190.35,8,No
CUST00483,North,150083.17,41,Yes
CUST00484,North,197345.86,32,Yes
CUST00485,North,96988.92,92,No
CUST00486,East,112370.09,32,No
CUST00487,West,15410.84,97,Yes
CUST00488,North,70774.76,33,No
CUST00489,North,72202.47,66,No
CUST00490,East,40970.96,15,Yes
CUST00491,North,34329.03,49,No
CUST00492,West,25719.77,6,Yes
CUST00493,North,123704.31,95,Yes
CUST00494,North,142103.04,8,No
CUST00495,East,125435.63,84,Yes
CUST00496,East,163150.2,7,No
CUST00497,East,111047.29,6,No
CUST00498,East,91011.34,3,Yes
CUST00499,East,33635.9,14,Yes
CUST00500,East,13010.06,87,No
CUST00501,East,96376.51,19,No
CUST00502,East,68042.26,8,No
CUST00503,South,87297.41,32,Yes
CUST00504,West,111517.35,18,No
CUST00505,East,67130.61,56,No
CUST00506,South,130414.81,74,Yes
CUST00507,West,44891.66,54,Yes
CUST00508,North,52278.89,76,Yes
CUST00509,South,192195.33,58,No
CUST00510,East,85673.17,4,No
CUST00511,North,153777.05,60,Yes
CUST00512,East,173539.27,96,Yes
CUST00513,East,6849.49,98,Yes
CUST00514,South,174811.22,34,No
CUST00515,South,131346.86,58,No
CUST00516,South,42921.78,18,Yes
CUST00517,East,146889.49,99,No
CUST00518,East,81656.73,94,Yes
CUST00519,North,48271.12,78,Yes
CUST00520,East,83193.2,38,Yes
CUST00521,East,50198.98,60,Yes
CUST00522,South,118990.76,89,No
CUST00523,North,19957.04,17,Yes
CUST00524,East,193913.05,66,No
CUST00525,South,2797.05,65,No
CUST00526,West,27043.86,45,Yes
CUST00527,West,47700.13,10,Yes
CUST00528,East,34781.82,74,Yes
CUST00529,East,134208.69,1,Yes
CUST00530,South,117988.99,76,No
CUST00531,South,34241.34,84,Yes
CUST00532,East,121502.09,47,No
CUST00533,East,95451.54,44,Yes
CUST00534,North,172979.02,6,Yes
CUST00535,East,23272.0,78,Yes
CUST00536,South,106702.74,20,Yes
CUST00537,North,128360.59,35,Yes
CUST00538,West,186841.13,69,Yes
CUST00539,West,117349.47,12,Yes
CUST00540,South,197339.39,88,No
CUST00541,East,4458.58,89,Yes
CUST00542,North,173715.74,95,Yes
CUST00543,North,104824.28,23,No
CUST00544,North,28790.6,45,Yes
CUST00545,South,188024.14,8,No
CUST00546,West,19686.24,8,Yes
CUST00547,West,47677.7,86,Yes
CUST00548,North,132664.84,90,Yes
CUST00549,North,4485.68,82,Yes
CUST00550,East,173912.09,76,Yes
CUST00551,South,159306.56,68,No
CUST00552,East,43919.36,80,No
CUST00553,West,133727.33,90,Yes
CUST00554,East,32698.2,64,Yes
CUST00555,South,195457.66,41,No
CUST00556,North,150733.12,77,Yes
CUST00557,South,22712.82,98,Yes
CUST00558,South,66079.6,19,No
CUST00559,South,152694.74,23,Yes
CUST00560,East,163749.01,88,Yes
CUST00561,South,130165.86,85,Yes
CUST00562,South,73925.85,71,Yes
CUST00563,West,76703.52,93,Yes
CUST00564,South,48271.28,35,Yes
CUST00565,West,15565.99,99,Yes
CUST00566,West,128872.62,66,Yes
CUST00567,North,76577.37,26,No
CUST00568,West,169586.3,28,Yes
CUST00569,East,68908.32,12,Yes
CUST00570,East,105798.14,79,Yes
CUST00571,East,121973.11,48,Yes
CUST00572,East,149628.27,43,Yes
CUST00573,East,39959.82,80,Yes
CUST00574,West,179708.08,25,No
CUST00575,North,76634.83,68,No
CUST00576,East,70972.91,34,Yes
CUST00577,South,123853.0,52,No
CUST00578,South,185991.57,28,Yes
CUST00579,East,62950.23,36,No
CUST00580,West,80581.14,77,Yes
CUST00581,South,25255.33,75,Yes
CUST00582,North,172023.74,39,Yes
CUST00583,South,142100.21,56,No
CUST00584,North,37860.46,56,No
CUST00585,North,97225.58,7,No
CUST00586,North,75328.43,45,Yes
CUST00587,North,190329.27,22,No
CUST00588,South,176957.09,9,No
CUST00589,North,129674.58,88,Yes
CUST00590,West,168132.4,72,No
CUST00591,East,111770.77,91,No
CUST00592,East,55686.4,19,No
CUST00593,South,134613.51,89,Yes
CUST00594,East,125148.01,97,Yes
CUST00595,West,31443.78,49,No
CUST00596,South,172696.62,21,Yes
CUST00597,South,5704.08,15,Yes
CUST00598,North,42031.05,11,Yes
CUST00599,West,78790.29,57,Yes
CUST00600,North,197569.32,35,Yes
CUST00601,North,135492.41,42,Yes
CUST00602,South,143801.96,75,No
CUST00603,East,26550.46,19,Yes
CUST00604,North,68108.2,32,Yes
CUST00605,West,16804.45,97,Yes
CUST00606,South,80836.39,97,Yes
CUST00607,West,71644.26,68,Yes
CUST00608,North,166540.76,60,No
CUST00609,North,47508.7,21,Yes
CUST00610,North,118969.59,67,Yes
CUST00611,North,65542.42,3,Yes
CUST00612,North,11415.44,44,No
CUST00613,North,111998.9,98,Yes
CUST00614,North,67380.34,22,Yes
CUST00615,West,191567.43,77,Yes
CUST00616,West,151212.73,55,Yes
CUST00617,North,20238.61,55,No
CUST00618,South,70166.73,12,No
CUST00619,South,95502.42,30,Yes
CUST00620,South,80463.87,5,No
CUST00621,West,153951.36,65,No
CUST00622,North,104670.64,70,Yes
CUST00623,East,157792.5,32,Yes
CUST00624,East,165387.46,38,Yes
CUST00625,East,13558.7,36,Yes
CUST00626,East,53359.4,66,Yes
CUST00627,West,69918.03,73,Yes
CUST00628,East,165231.94,62,Yes
CUST00629,West,120518.27,55,Yes
CUST00630,West,157468.92,15,No
CUST00631,South,170433.57,12,No
CUST00632,West,24156.91,82,Yes
CUST00633,East,135186.46,30,No
CUST00634,South,29114.33,7,Yes
CUST00635,West,17102.94,21,Yes
CUST00636,West,31604.44,35,Yes
CUST00637,South,195146.43,10,No
CUST00638,East,27372.41,54,Yes
CUST00639,West,121667.82,65,Yes
CUST00640,South,153197.15,52,Yes
CUST00641,East,80333.94,25,No
CUST00642,West,25230.62,21,Yes
CUST00643,East,27898.09,68,Yes
CUST00644,East,155568.0,96,Yes
CUST00645,South,187353.39,20,Yes
CUST00646,North,22027.27,6,Yes
CUST00647,North,4519.87,2,No
CUST00648,East,31252.95,5,No
CUST00649,East,92500.28,2,Yes
CUST00650,East,151096.46,31,No
CUST00651,West,196752.11,83,Yes
CUST00652,South,15851.33,28,Yes
CUST00653,East,21108.12,80,No
CUST00654,East,123992.28,4,No
CUST00655,South,162980.08,52,Yes
CUST00656,North,131489.01,38,Yes
CUST00657,East,27011.36,63,Yes
CUST00658,West,39729.88,7,Yes
CUST00659,North,96845.33,71,No
CUST00660,North,154091.67,55,Yes
CUST00661,West,96787.49,79,Yes
CUST00662,East,136513.99,39,Yes
CUST00663,North,65376.58,90,Yes
CUST00664,South,195198.88,82,Yes
CUST00665,North,9484.01,81,Yes
CUST00666,North,110043.94,63,Yes
CUST00667,East,53937.84,26,Yes
CUST00668,North,173067.42,82,Yes
CUST00669,South,75801.77,52,No
CUST00670,East,79086.35,42,No
CUST00671,East,191111.6,17,No
CUST00672,West,188623.4,2,Yes
CUST00673,East,51679.45,10,No
CUST00674,North,51358.63,21,No
CUST00675,South,99594.97,8,No
CUST00676,South,127697.27,79,No
CUST00677,South,90673.31,45,Yes
CUST00678,North,147749.32,65,Yes
CUST00679,West,10518.33,72,Yes
CUST00680,North,143548.35,51,Yes
CUST00681,South,3409.59,5,Yes
CUST00682,South,78131.45,31,Yes
CUST00683,South,70590.94,15,No
CUST00684,North,156984.69,51,Yes
CUST00685,East,20580.73,94,No
CUST00686,South,14673.85,10,Yes
CUST00687,South,17352.16,92,No
CUST00688,East,156714.5,25,No
CUST00689,East,133802.73,67,Yes
CUST00690,East,123387.58,78,Yes
CUST00691,West,192005.48,62,No
CUST00692,West,65120.89,36,Yes
CUST00693,North,196014.1,13,Yes
CUST00694,East,149866.56,32,Yes
CUST00695,West,32171.05,10,Yes
CUST00696,East,185688.64,55,Yes
CUST00697,North,75822.59,78,Yes
CUST00698,West,122974.98,22,Yes
CUST00699,North,185735.19,44,Yes
CUST00700,East,177498.06,21,Yes
CUST00701,West,163373.44,39,No
CUST00702,South,183866.38,18,Yes
CUST00703,West,44991.61,8,No
CUST00704,North,112004.83,23,No
CUST00705,North,36308.33,86,No
CUST00706,North,54596.93,92,Yes
CUST00707,North,33798.15,29,No
CUST00708,West,19282.31,50,Yes
CUST00709,South,101664.69,88,Yes
CUST00710,East,83269.87,37,Yes
CUST00711,East,102163.75,63,Yes
CUST00712,South,31162.3,30,No
CUST00713,East,127621.98,8,Yes
CUST00714,North,2856.99,1,No
CUST00715,North,176408.71,4,Yes
CUST00716,West,80897.37,98,Yes
CUST00717,West,111461.9,46,Yes
CUST00718,North,38416.92,41,Yes
CUST00719,North,108200.44,36,Yes
CUST00720,South,152437.16,54,No
CUST00721,South,3195.29,34,No
CUST00722,North,135997.39,16,Yes
CUST00723,East,61815.24,56,Yes
CUST00724,West,25818.1,4,No
CUST00725,West,177352.96,99,Yes
CUST00726,East,132945.36,54,No
CUST00727,South,1640.43,38,Yes
CUST00728,South,37082.54,45,Yes
CUST00729,South,118052.25,4,Yes
CUST00730,West,144957.55,80,Yes
CUST00731,East,140885.74,24,No
CUST00732,West,161192.81,31,Yes
CUST00733,South,65099.49,63,Yes
CUST00734,West,12651.63,76,No
CUST00735,North,141828.51,31,No
CUST00736,West,104539.02,45,Yes
CUST00737,South,66310.36,55,Yes
CUST00738,North,74912.98,92,No
CUST00739,South,199671.15,45,Yes
CUST00740,North,127873.1,20,No
CUST00741,East,24548.9,70,No
CUST00742,West,149696.7,9,No
CUST00743,South,41384.34,61,No
CUST00744,West,33893.53,94,No
CUST00745,West,55341.09,81,No
CUST00746,South,156733.81,19,Yes
CUST00747,North,86501.71,69,No
CUST00748,East,38034.18,49,Yes
CUST00749,South,187533.31,70,Yes
CUST00750,West,10918.56,39,Yes
CUST00751,North,87933.29,57,Yes
CUST00752,North,12398.77,46,Yes
CUST00753,South,27935.46,31,No
CUST00754,West,94940.03,85,Yes
CUST00755,West,12353.89,30,Yes
CUST00756,West,55868.25,55,No
CUST00757,South,50659.69,80,Yes
CUST00758,South,86348.49,89,No
CUST00759,South,14007.87,45,No
CUST00760,South,10253.62,82,No
CUST00761,South,28709.83,68,Yes
CUST00762,South,154599.69,70,No
CUST00763,East,5342.86,75,No
