order_id,order_date,delivery_date,customer_id,seller_id,region,product_category,payment_method,order_value,discount_percent,final_price,quantity,delivery_status,refund_flag,delivery_time_days,customer_rating,satisfaction_score,logistics_partner,delay_reason,repeat_purchase_flag
ORD000037,2025-08-09,2025-08-16,CUST00792,SELL0432,East,Groceries,COD,3125.02,40.48,1860.01,4,Delivered,No,7,3.2,68.8,XpressBees,High Demand,Yes
ORD000038,2025-01-10,2025-01-12,CUST02832,SELL0078,North,Groceries,UPI,19958.6,29.26,14118.71,4,Cancelled,No,2,4.8,87.0,Shopee Express,High Demand,Yes
ORD000039,2024-08-04,2024-08-05,CUST02733,SELL0337,North,Fashion,Wallet,18402.07,47.31,9696.05,4,Delivered,No,1,1.6,42.6,BlueDart,Weather,Yes
ORD000040,2024-08-13,2024-08-18,CUST00248,SELL0432,West,Beauty,Wallet,2398.72,48.56,1233.9,4,Delivered,No,5,1.1,95.1,Shopee Express,High Demand,Yes
ORD000041,2025-09-28,2025-10-01,CUST01645,SELL0316,South,Beauty,Wallet,14280.24,26.82,10450.28,2,Delivered,No,3,1.8,4.1,BlueDart,Logistics Issue,Yes
ORD000042,2024-09-17,2024-10-01,CUST02310,SELL0487,South,Home,Credit Card,5108.36,4.77,4864.69,4,Cancelled,No,14,4.1,61.2,Ecom Express,None,No
ORD000043,2025-02-26,2025-03-11,CUST00232,SELL0033,East,Home,Credit Card,9453.7,36.18,6033.35,3,Delivered,No,13,4.5,88.4,BlueDart,Logistics Issue,Yes
ORD000044,2024-11-10,2024-11-14,CUST00685,SELL0029,North,Beauty,Debit Card,16717.73,24.81,12570.06,2,Delivered,No,4,4.6,43.8,XpressBees,Weather,No
ORD000045,2025-01-24,2025-01-27,CUST05270,SELL0341,North,Sports,Wallet,6452.55,38.99,3936.7,2,Delivered,No,3,4.9,57.3,Ecom Express,High Demand,Yes
ORD000046,2025-05-23,2025-06-01,CUST02296,SELL0254,South,Beauty,Debit Card,18509.84,8.94,16855.06,4,Shipped,No,9,1.3,79.9,Ecom Express,High Demand,Yes
ORD000047,2024-08-01,2024-08-12,CUST00451,SELL0396,West,Beauty,Wallet,2435.95,3.28,2356.05,3,Delivered,No,11,3.9,97.4,BlueDart,Incorrect Address,No
ORD000048,2025-09-01,2025-09-04,CUST00548,SELL0284,Weast,Home,Debit Card,13479.62,22.46,10452.1,2,Pending,Yes,3,2.3,57.6,Ecom Express,High Demand,Yes
ORD000049,2024-10-15,2024-10-24,CUST02770,SELL0158,West,Electronics,UPI,10485.07,33.41,6982.01,1,Delivered,No,9,1.1,35.2,BlueDart,Weather,Yes
ORD000050,2025-02-08,2025-02-17,CUST05787,SELL0027,North,Fashion,Wallet,2052.99,19.99,1642.6,3,Delivered,No,9,1.9,79.8,Ecom Express,None,Yes
ORD000051,2025-04-17,2025-04-20,CUST05517,SELL0162,Weast,Home,Wallet,14391.58,14.98,12235.72,1,Delivered,No,3,4.7,81.7,Delhivery,High Demand,Yes
ORD000052,2025-02-20,2025-03-03,CUST00988,SELL0324,East,Electronics,UPI,4185.73,22.34,3250.64,3,Delivered,No,11,4.4,48.5,Shopee Express,High Demand,Yes
ORD000053,2025-02-15,2025-02-28,CUST03366,SELL0237,East,Beauty,Debit Card,6171.75,81.73185871522432,5924.26,3,Cancelled,No,13,1.7,51.7,BlueDart,High Demand,Yes
ORD000054,2024-11-07,2024-11-16,CUST03042,SELL0295,South,Fashion,COD,13893.62,12.22,12195.82,1,Delivered,Yes,9,1.8,9.9,Ecom Express,Incorrect Address,No
ORD000055,2024-09-14,2024-09-20,CUST00261,SELL0213,North,Groceries,Wallet,4607.18,2.01,4514.58,4,Delivered,Yes,6,4.8,15.6,BlueDart,Weather,No
ORD000056,2024-12-28,2025-01-01,CUST00109,SELL0351,North,Fashion,Debit Card,3580.5,43.52,2022.27,2,Shipped,No,4,2.1,37.0,Shopee Express,High Demand,Yes
ORD000057,2025-08-27,2025-09-08,CUST00756,SELL0318,North,Sports,COD,18705.19,39.83,11254.91,3,Delivered,No,12,3.8,78.2,XpressBees,Incorrect Address,Yes
ORD000058,2024-09-28,,CUST02132,SELL0377,North,Sports,COD,4766.84,,4563.77,3,Delivered,No,6,,96.0,,High Demand,Yes
ORD000059,2025-09-17,2025-09-30,CUST02737,SELL0491,North,Home,Credit Card,14105.73,40.56,8384.45,1,Shipped,No,13,4.8,27.4,BlueDart,Logistics Issue,Yes
ORD000060,2025-01-20,2025-01-30,CUST04621,SELL0063,North,Toys,Credit Card,1449.98,31.39,994.83,1,Delivered,No,10,3.0,91.4,XpressBees,Weather,Yes
ORD000061,2025-09-02,2025-09-13,CUST03897,SELL0327,West,Electronics,COD,6536.1,16.7,5444.57,2,Delivered,No,11,1.8,98.9,Delhivery,Logistics Issue,No
ORD000062,2024-12-17,2024-12-22,CUST00422,SELL0182,East,Fashion,Debit Card,428.12,25.85,317.45,1,Delivered,No,5,4.1,28.3,BlueDart,Logistics Issue,No
ORD000063,2024-12-27,2025-01-08,CUST05526,SELL0467,Weast,Electronics,COD,13984.24,4.17,13401.1,4,Pending,Yes,12,4.2,57.6,Shopee Express,None,No
ORD000064,2024-08-24,,CUST04267,SELL0148,East,Groceries,COD,13052.09,,11047.29,2,Returned,No,4,,86.8,,Weather,Yes
ORD000065,2024-11-26,2024-12-08,CUST05905,SELL0186,South,Sports,COD,14235.37,48.14,7382.46,3,Cancelled,No,12,2.7,10.3,Shopee Express,Weather,Yes
ORD000066,2024-09-29,2024-10-01,CUST05234,SELL0495,East,Groceries,Credit Card,3441.07,26.98,2512.67,1,Delivered,No,2,2.1,76.7,Shopee Express,Logistics Issue,Yes
ORD000067,2025-03-21,2025-03-25,CUST01069,SELL0469,West,Sports,Debit Card,3034.49,16.45,2535.32,2,Delivered,No,4,4.2,75.4,XpressBees,None,No
ORD000068,2025-02-16,2025-02-19,CUST00988,SELL0020,West,Beauty,COD,18992.42,16.45,15868.17,1,Delivered,No,3,4.2,57.3,Ecom Express,Weather,Yes
ORD000069,2024-12-10,2024-10-21,CUST05094,SELL0393,West,Beauty,Debit Card,10445.82,42.17,6040.82,3,Delivered,No,9,2.0,61.2,Shopee Express,None,Yes
ORD000070,2025-07-29,2025-08-11,CUST03330,SELL0285,South,Sports,Wallet,17661.44,37.48,11041.93,1,Shipped,No,13,4.5,15.6,XpressBees,None,No
ORD000071,2024-09-23,2024-10-03,CUST05902,SELL0252,South,Beauty,UPI,17806.69,49.48,8995.94,1,Shipped,No,10,3.5,77.2,Ecom Express,Incorrect Address,No
ORD000072,2025-03-16,2025-03-29,CUST01067,SELL0068,West,Beauty,UPI,10103.15,40.03,6058.86,2,Shipped,No,13,1.9,34.9,Shopee Express,Weather,Yes
ORD000073,2025-09-24,2025-10-05,CUST04587,SELL0019,East,Sports,Debit Card,-50.0,15.67,16122.65,1,Delivered,No,11,1.2,22.9,BlueDart,Incorrect Address,No
ORD000074,2025-06-28,2025-07-01,CUST02190,SELL0402,West,Groceries,Credit Card,-50.0,14.65,15286.53,2,Delivered,No,3,2.1,93.9,XpressBees,Logistics Issue,No
ORD000075,2024-08-10,2024-08-13,CUST02753,SELL0097,East,Beauty,Debit Card,1960.92,17.53,1617.17,1,Delivered,No,3,4.1,64.7,Ecom Express,Incorrect Address,Yes
ORD000076,2025-05-31,2025-06-11,CUST02152,SELL0354,East,Home,Credit Card,16756.62,18.02,13737.08,4,Delivered,No,11,3.9,16.9,XpressBees,Weather,No
ORD000077,2024-11-29,2024-12-12,CUST04779,SELL0162,North,Groceries,COD,2877.53,15.74,2424.61,1,Delivered,No,13,2.1,38.7,Ecom Express,None,Yes
ORD000078,2025-07-23,2025-08-04,CUST04077,SELL0199,East,Home,COD,19893.66,109.085947594395,16919.56,4,Delivered,Yes,12,3.8,28.6,XpressBees,Logistics Issue,Yes
ORD000079,2025-04-27,2025-05-11,CUST02968,SELL0049,East,Groceries,Credit Card,12925.35,16.26,10823.69,4,Delivered,No,14,3.7,28.4,XpressBees,Incorrect Address,No
ORD000080,2025-03-16,2025-03-27,CUST01986,SELL0239,West,Sports,UPI,18976.87,27.16,13822.75,3,Delivered,No,11,4.3,79.9,Delhivery,High Demand,Yes
ORD000081,2024-12-21,2025-01-04,CUST03181,SELL0334,East,Beauty,Debit Card,14337.25,14.73,12225.37,1,Pending,No,14,4.4,80.5,BlueDart,Logistics Issue,No
ORD000082,2025-09-24,2025-10-06,CUST03666,SELL0263,East,Electronics,Wallet,788.22,18.4,643.19,1,Shipped,No,12,2.7,62.4,Ecom Express,Incorrect Address,Yes
ORD000083,2025-01-14,2025-01-17,CUST02034,SELL0025,East,Electronics,Credit Card,18878.92,20.07,15089.92,4,Delivered,No,3,4.1,86.2,Shopee Express,Logistics Issue,Yes
ORD000084,2025-04-12,2025-04-26,CUST04493,SELL0487,South,Home,Wallet,4483.14,140.98742617522174,3349.35,1,Delivered,No,14,3.5,10.1,XpressBees,High Demand,Yes
ORD000085,2025-02-28,2025-03-04,CUST02271,SELL0128,West,Home,UPI,3005.96,23.39,2302.87,4,Delivered,No,4,4.1,34.7,Ecom Express,None,Yes
ORD000086,2024-10-30,2024-11-01,CUST00982,SELL0348,North,Electronics,Debit Card,14963.06,22.32,11623.31,3,Delivered,No,2,4.3,96.7,BlueDart,Weather,Yes
ORD000087,2024-09-03,2024-09-14,CUST00403,SELL0124,North,Groceries,Wallet,7392.49,47.83,3856.66,2,Delivered,No,11,4.7,80.1,XpressBees,High Demand,Yes
ORD000088,2025-03-29,2025-04-04,CUST05033,SELL0318,South,Electronics,COD,0.0,4.71,768.38,3,Delivered,No,6,3.0,89.0,BlueDart,Incorrect Address,Yes
ORD000089,2025-07-20,2025-07-24,CUST02780,SELL0085,North,Home,UPI,6711.44,33.14,4487.27,2,Delivered,No,4,4.0,6.0,Shopee Express,Logistics Issue,Yes
ORD000090,2025-01-27,2025-01-31,CUST01874,SELL0471,East,Sports,UPI,15482.0,10.87,13799.11,1,Delivered,Yes,4,2.0,43.7,BlueDart,Weather,No
ORD000091,2025-06-13,2025-06-22,CUST03217,SELL0315,North,Groceries,Wallet,14199.62,2.14,13895.75,4,Delivered,No,9,4.0,21.5,XpressBees,None,No
ORD000092,2025-07-25,2025-07-30,CUST03167,SELL0219,South,Toys,UPI,4011.12,4.99,3810.97,4,Shipped,No,5,1.6,39.5,Ecom Express,High Demand,Yes
ORD000093,2025-09-08,2025-09-13,CUST02194,SELL0249,South,Fashion,Wallet,1958.39,122.92365001821022,1497.97,2,Delivered,No,5,3.6,6.4,Delhivery,Logistics Issue,No
ORD000094,2025-08-30,2025-09-07,CUST05626,SELL0386,West,Sports,Wallet,7533.17,10.66,6730.13,3,Cancelled,No,8,2.7,42.9,XpressBees,None,No
ORD000095,2025-08-31,2025-09-01,CUST03187,SELL0452,South,Groceries,Wallet,5715.54,22.19,4447.26,2,Shipped,No,1,4.5,64.6,Ecom Express,None,Yes
ORD000096,2024-12-09,2024-12-22,CUST00513,SELL0128,North,Sports,Debit Card,17625.52,27.07,12854.29,3,Delivered,No,13,1.3,19.6,BlueDart,Weather,Yes
ORD000097,2024-09-30,2024-10-03,CUST01620,SELL0276,East,Home,Credit Card,11290.08,45.03,6206.16,2,Delivered,No,3,4.1,16.9,BlueDart,None,Yes
ORD000098,2025-03-25,2025-03-29,CUST05826,SELL0470,North,Fashion,COD,861.05,20.17,687.38,4,Delivered,No,4,3.2,40.9,Shopee Express,None,Yes
ORD000099,2024-16-10,2024-10-25,CUST01426,SELL0294,South,Home,Wallet,2278.81,49.54,1149.89,2,Delivered,No,9,1.7,26.1,Shopee Express,Logistics Issue,Yes
ORD000100,2024-10-29,2024-11-04,CUST00641,SELL0334,West,Groceries,COD,10060.2,27.11,7332.88,2,Delivered,No,6,2.9,36.3,XpressBees,Logistics Issue,No
ORD000101,2024-09-30,2024-10-01,CUST04287,SELL0132,East,Fashion,Wallet,476.82,85.20632820183695,372.21,3,Delivered,No,1,5.0,64.8,XpressBees,High Demand,Yes
ORD000102,2024-09-27,2024-10-10,CUST00243,SELL0151,South,Beauty,UPI,8831.79,4.33,8449.37,1,Delivered,No,13,2.4,74.2,Delhivery,High Demand,No
ORD000103,2025-01-12,2025-01-19,CUST01324,SELL0306,East,Electronics,Debit Card,18452.32,24.98,13842.93,3,Delivered,No,7,3.7,10.4,Shopee Express,None,Yes
ORD000104,2024-09-01,2024-09-04,CUST01643,SELL0246,South,Groceries,Debit Card,4142.23,31.99,2817.13,2,Delivered,No,3,3.3,49.0,Delhivery,None,Yes
ORD000105,2025-08-26,2025-09-03,CUST05669,SELL0059,West,Home,Wallet,1179.67,44.08,659.67,4,Delivered,No,8,2.6,3.4,Ecom Express,Incorrect Address,Yes
ORD000106,2025-09-21,2025-09-24,CUST05923,SELL0409,West,Groceries,UPI,15276.7,4.03,14661.05,4,Delivered,Yes,3,4.5,82.4,Delhivery,High Demand,Yes
ORD000107,2025-04-17,2025-04-26,CUST05719,SELL0013,East,Groceries,Credit Card,13268.6,11.1,11795.79,4,Delivered,No,9,3.1,85.1,XpressBees,None,No
ORD000108,2025-05-23,2025-06-03,CUST02946,SELL0419,North,Electronics,UPI,7937.85,27.64,5743.83,3,Delivered,No,11,2.2,33.4,BlueDart,Incorrect Address,Yes
ORD000109,2025-07-03,2025-07-13,CUST01730,SELL0366,West,Fashion,UPI,12950.56,14.06,11129.71,4,Delivered,No,10,1.7,74.0,Ecom Express,Weather,Yes
ORD000110,2024-09-11,2024-09-23,CUST01987,SELL0473,West,Toys,Debit Card,497.45,25.41,371.05,3,Delivered,No,12,2.3,33.5,Ecom Express,None,No
ORD000111,2025-05-27,2025-05-28,CUST02803,SELL0212,West,Beauty,Wallet,703.73,35.41,454.54,1,Delivered,No,1,2.6,32.4,XpressBees,Incorrect Address,No
ORD000112,2024-10-21,2024-11-04,CUST01021,SELL0465,East,Fashion,UPI,9776.28,49.75,4912.58,4,Delivered,No,14,4.6,45.3,Ecom Express,None,No
ORD000113,2025-09-05,2025-09-07,CUST01959,SELL0080,South,Groceries,UPI,5599.94,32.9,3757.56,4,Delivered,No,2,4.7,11.7,XpressBees,None,No
ORD000114,2025-03-31,2025-04-03,CUST05722,SELL0061,North,Beauty,Wallet,4465.35,41.44,2614.91,2,Cancelled,No,3,4.0,4.6,BlueDart,Weather,Yes
ORD000115,2025-03-22,2025-03-27,CUST03528,SELL0300,Weast,Groceries,COD,5858.98,15.23,4966.66,4,Delivered,No,5,2.7,92.7,Ecom Express,High Demand,Yes
ORD000116,2025-08-01,2025-08-03,CUST03303,SELL0292,West,Home,Wallet,8630.48,11.56,7632.8,3,Delivered,No,2,2.4,46.9,XpressBees,Logistics Issue,Yes
ORD000117,2025-07-24,2025-08-01,CUST01806,SELL0270,South,Sports,Credit Card,16886.76,7.64,15596.61,2,Pending,No,8,4.7,45.1,BlueDart,Logistics Issue,Yes
ORD000118,2025-08-22,2025-08-30,CUST04011,SELL0393,East,Beauty,UPI,7687.45,31.32,5279.74,1,Delivered,No,8,4.5,97.1,Ecom Express,High Demand,No
ORD000119,2025-06-30,2025-07-12,CUST03946,SELL0399,North,Home,COD,2693.66,9.46,2438.84,3,Shipped,No,12,3.8,53.2,BlueDart,Logistics Issue,Yes
ORD000120,2025-03-28,2025-04-08,CUST01490,SELL0296,East,Electronics,UPI,4112.43,6.45,3847.18,1,Delivered,No,11,1.5,25.6,Ecom Express,High Demand,No
ORD000121,2025-06-01,2025-06-03,CUST05767,SELL0140,South,Sports,UPI,1165.15,39.62,703.52,4,Delivered,No,2,2.8,34.2,BlueDart,High Demand,Yes
ORD000122,2025-07-08,2025-07-22,CUST05654,SELL0219,South,Sports,Wallet,19974.15,45.96,10794.03,2,Delivered,No,14,3.2,73.4,XpressBees,Incorrect Address,No
ORD000123,2024-08-31,2024-09-11,CUST04004,SELL0291,East,Beauty,Wallet,6654.76,27.09,4851.99,4,Cancelled,No,11,4.1,3.2,Ecom Express,High Demand,Yes
ORD000124,2024-12-21,2024-12-24,CUST00285,SELL0447,South,Fashion,UPI,901.3,37.3,565.12,3,Delivered,No,3,2.4,63.0,Delhivery,Incorrect Address,Yes
ORD000125,2024-10-13,2024-10-26,CUST01772,SELL0132,North,Fashion,UPI,15111.11,48.1,7842.67,1,Delivered,No,13,3.9,36.8,Delhivery,None,Yes
ORD000126,2024-12-03,2024-12-15,CUST05612,SELL0357,South,Home,COD,19510.96,43.53,11017.84,3,Delivered,No,12,1.1,85.0,Delhivery,None,No
ORD000127,2024-10-15,2024-10-20,CUST02633,SELL0088,East,Toys,Credit Card,19074.87,30.63,13232.24,4,Delivered,No,5,2.4,85.9,Shopee Express,Weather,No
ORD000128,2025-06-25,2025-06-29,CUST00984,SELL0480,East,Beauty,Credit Card,11161.11,34.17,7347.36,4,Delivered,No,4,1.4,24.2,BlueDart,High Demand,No
ORD000129,2025-03-02,,CUST01464,SELL0198,North,Groceries,Wallet,4840.56,,3880.68,1,Delivered,No,3,,96.6,,None,Yes
ORD000130,2025-05-30,2025-06-03,CUST05142,SELL0047,North,Electronics,Debit Card,16169.62,45.18,8864.19,3,Pending,No,4,1.6,50.3,,High Demand,Yes
ORD000131,2025-05-16,2025-05-30,CUST03975,SELL0418,East,Groceries,Credit Card,15295.91,36.04,9783.26,2,Delivered,No,14,1.6,89.7,XpressBees,Incorrect Address,No
ORD000132,2024-09-26,2024-10-07,CUST04229,SELL0170,South,Beauty,Debit Card,15711.76,29.03,11150.64,3,Delivered,No,11,3.3,13.7,BlueDart,Incorrect Address,Yes
ORD000133,2025/07/03,2025-07-16,CUST00045,SELL0303,North,Electronics,Credit Card,472.54,27.3,343.54,1,Delivered,No,13,2.0,50.9,XpressBees,Weather,No
ORD000134,2025-08-20,2025-08-21,CUST03312,SELL0414,East,Groceries,Wallet,12092.45,0.37,12047.71,3,Delivered,No,1,2.1,22.3,XpressBees,High Demand,No
ORD000135,2025-03-27,,CUST02994,SELL0380,East,Toys,Credit Card,3809.39,,2350.77,4,Cancelled,No,13,,30.0,,Weather,No
ORD000136,2025-06-18,2025-06-26,CUST00505,SELL0300,North,Toys,Wallet,7722.12,47.91,4022.45,3,Delivered,No,8,2.3,72.5,,None,Yes
ORD000137,2024-09-10,2024-09-15,CUST04950,SELL0078,East,Groceries,COD,15073.6,7.52,13940.07,2,Cancelled,No,5,2.8,51.3,Delhivery,Weather,Yes
ORD000138,2025-05-31,2025-06-07,CUST00362,SELL0264,West,Electronics,COD,15805.25,6.33,14804.78,2,Shipped,No,7,2.4,37.8,XpressBees,Logistics Issue,No
ORD000139,2024-11-08,2024-11-09,CUST01681,SELL0072,East,Home,Debit Card,15595.99,13.58,13478.05,2,Delivered,No,1,1.2,51.5,XpressBees,High Demand,Yes
ORD000140,2025-06-18,2025-06-20,CUST00532,SELL0149,East,Electronics,COD,5827.67,45.21,3192.98,4,Delivered,No,2,1.5,49.9,Delhivery,High Demand,Yes
ORD000141,2024-09-23,2024-09-30,CUST00344,SELL0169,North,Electronics,UPI,7506.79,33.49,4992.77,4,Shipped,No,7,1.1,71.3,XpressBees,None,Yes
ORD000142,2025-01-15,2025-01-27,CUST03271,SELL0116,West,Home,UPI,4856.37,21.54,3810.31,4,Delivered,No,12,3.5,44.6,Delhivery,Incorrect Address,No
ORD000143,2024-10-26,2024-10-27,CUST01075,SELL0327,South,Fashion,Debit Card,19565.73,43.31,11091.81,3,Delivered,No,1,4.4,71.2,XpressBees,Incorrect Address,Yes
ORD000144,2025-01-20,2025-01-29,CUST00319,SELL0043,West,Beauty,Credit Card,12514.64,48.32,6467.57,1,Delivered,No,9,1.2,29.9,BlueDart,High Demand,Yes
ORD000145,2024-12-09,2024-12-22,CUST04707,SELL0352,South,Sports,COD,12984.74,49.83,6514.44,1,Delivered,No,13,2.0,93.3,Shopee Express,Logistics Issue,No
ORD000146,2024-08-08,2024-08-20,CUST05850,SELL0367,South,Fashion,Wallet,8189.05,12.12,7196.54,2,Delivered,No,12,2.7,63.5,Delhivery,Weather,Yes
ORD000147,2024-12-03,2024-12-11,CUST05570,SELL0296,South,Groceries,Credit Card,14267.19,15.73,12022.96,4,Delivered,No,8,1.0,63.5,XpressBees,High Demand,Yes
ORD000148,2025-04-17,2025-04-30,CUST04276,SELL0419,West,Groceries,Wallet,8309.5,1.27,8203.97,4,Shipped,No,13,2.2,92.6,BlueDart,None,Yes
ORD000149,2025-01-05,2025-01-07,CUST03006,SELL0251,North,Toys,UPI,17516.67,2.51,17077.0,1,Delivered,No,2,3.3,11.4,BlueDart,High Demand,No
ORD000150,2024-11-17,2024-11-27,CUST04619,SELL0138,East,Toys,Wallet,12287.42,21.01,9705.83,4,Delivered,No,10,3.0,69.7,BlueDart,High Demand,No
ORD000151,2025-06-18,2025-06-19,CUST01989,SELL0432,North,Home,Debit Card,2549.39,137.09784616812658,2362.26,3,Delivered,No,1,1.3,59.5,XpressBees,Logistics Issue,No
