seller_id,seller_region,seller_rating,total_orders,avg_delivery_time_days,active_since
SELL0054,East,3.01,1786,6,2020
SELL0055,East,3.17,597,2,2020
SELL0056,West,4.69,4067,8,2023
SELL0057,West,3.54,3704,4,2018
SELL0058,East,2.81,1310,5,2018
SELL0059,East,4.97,2248,5,2022
SELL0060,East,3.71,489,5,2019
SELL0061,West,4.87,3725,8,2023
SELL0062,South,3.48,2879,3,2018
SELL0063,West,3.73,1822,4,2020
SELL0064,West,4.63,2959,8,2024
SELL0065,East,2.54,3160,8,2023
SELL0066,North,4.5,4670,3,2020
SELL0067,West,3.49,154,3,2021
SELL0068,West,4.14,1056,4,2022
SELL0069,West,3.35,1363,9,2018
SELL0070,West,2.54,2886,4,2024
SELL0071,East,3.82,2423,9,2023
SELL0072,South,4.29,2029,7,2020
SELL0073,South,3.23,3440,7,2019
SELL0074,South,4.86,3697,3,2022
SELL0075,North,3.53,1074,8,2023
SELL0076,North,4.62,4718,6,2019
SELL0077,East,4.94,758,6,2019
SELL0078,West,4.82,4719,4,2024
SELL0079,East,3.6,1174,5,2023
SELL0080,North,3.58,3533,8,2018
SELL0081,North,3.86,3159,7,2021
SELL0082,West,3.47,1774,9,2020
SELL0083,East,3.69,413,8,2022
SELL0084,East,3.25,3529,9,2021
SELL0085,North,3.21,327,1,2018
SELL0086,East,2.95,1622,4,2019
SELL0087,West,3.62,169,9,2021
SELL0088,West,4.21,3430,2,2019
SELL0089,North,4.18,675,9,2023
SELL0090,East,4.83,844,4,2019
SELL0091,North,3.84,1124,1,2023
SELL0092,East,4.41,867,7,2019
SELL0093,East,3.07,727,9,2024
SELL0094,East,2.69,1165,3,2020
SELL0095,East,4.22,4172,9,2022
SELL0096,West,3.86,2953,8,2020
SELL0097,West,3.57,1615,7,2021
SELL0098,East,2.81,1673,9,2024
SELL0099,North,4.25,731,6,2018
SELL0100,West,3.31,2147,8,2023
SELL0101,South,3.36,3633,2,2019
SELL0102,North,4.76,1375,3,2019
SELL0103,West,4.47,2151,1,2023
SELL0104,West,3.2,300,4,2021
SELL0105,North,2.77,3071,5,2020
SELL0106,South,3.75,3954,9,2022
SELL0107,South,4.16,459,6,2023
SELL0108,West,3.44,4758,6,2022
SELL0109,North,2.74,693,1,2021
SELL0110,West,4.99,956,5,2020
SELL0111,North,4.37,4374,9,2024
SELL0112,West,4.47,3415,1,2024
SELL0113,South,3.53,2694,5,2020
SELL0114,West,4.2,3305,2,2018
SELL0115,South,4.83,3273,2,2019
SELL0116,North,3.03,3374,8,2023
SELL0117,East,4.09,2251,3,2022
SELL0118,West,4.24,969,2,2022
SELL0119,North,4.51,1373,2,2020
SELL0120,South,2.59,300,6,2019
SELL0121,East,2.99,3011,1,2021
SELL0122,East,3.09,654,9,2019
SELL0123,North,3.28,3393,2,2022
SELL0124,West,3.46,2810,9,2021
SELL0125,West,4.71,1625,7,2024
SELL0126,North,3.6,668,7,2024
SELL0127,North,4.79,2209,3,2018
SELL0128,West,3.76,4289,5,2022
SELL0129,West,2.6,4194,3,2021
SELL0130,South,4.71,3460,4,2021
SELL0131,North,4.43,4901,7,2023
SELL0132,South,2.99,1121,5,2023
SELL0133,South,2.56,798,9,2019
SELL0134,North,4.37,207,5,2018
SELL0135,South,4.0,2803,5,2023
SELL0136,South,2.53,2866,8,2021
SELL0137,East,3.29,309,1,2024
SELL0138,South,3.4,1751,1,2019
SELL0139,South,4.16,1455,8,2023
SELL0140,North,4.96,3639,7,2019
SELL0141,North,3.37,4639,1,2023
SELL0142,North,4.64,1090,2,2023
SELL0143,East,4.87,4952,1,2020
SELL0144,North,3.14,663,1,2022
SELL0145,East,3.33,1440,5,2023
SELL0146,South,2.56,1048,9,2022
SELL0147,North,3.09,3381,9,2021
SELL0148,West,3.82,2843,4,2019
SELL0149,North,3.88,301,6,2024
SELL0150,North,2.84,2048,5,2021
SELL0151,North,3.71,4033,5,2021
SELL0152,West,3.53,4151,6,2022
SELL0153,West,3.35,4299,3,2022
SELL0154,South,3.0,1307,1,2023
SELL0155,South,2.88,1778,2,2020
SELL0156,South,3.43,1045,5,2023
SELL0157,North,4.92,3198,4,2018
SELL0158,North,4.37,2274,6,2018
SELL0159,West,3.11,2357,6,2024
SELL0160,North,4.73,4497,3,2018
SELL0161,South,4.0,782,1,2021
SELL0162,South,3.52,2994,2,2018
SELL0163,North,3.64,2142,6,2024
SELL0164,East,4.81,4962,5,2021
SELL0165,North,2.68,301,9,2022
SELL0166,South,2.73,2096,6,2021
SELL0167,West,4.77,4782,6,2018
SELL0168,South,2.9,4466,4,2022
SELL0169,North,2.69,1652,2,2021
SELL0170,North,4.38,215,3,2020
SELL0171,South,2.61,459,5,2021
SELL0172,East,4.24,3633,7,2020
SELL0173,South,4.69,1394,3,2024
SELL0174,South,4.37,4939,7,2023
SELL0175,West,4.42,1878,4,2024
SELL0176,South,2.71,473,3,2020
SELL0177,North,3.71,2365,3,2023
SELL0178,South,2.6,4544,4,2019
SELL0179,North,3.45,469,4,2020
SELL0180,South,4.97,4474,5,2024
SELL0181,East,4.88,4155,9,2018
SELL0182,South,4.88,422,5,2018
SELL0183,North,2.95,2909,7,2019
SELL0184,South,3.68,2320,4,2021
SELL0185,South,3.86,2542,2,2018
SELL0186,South,3.04,266,1,2023
SELL0187,South,3.6,1909,3,2024
SELL0188,North,3.87,1771,8,2023
SELL0189,North,3.62,1136,7,2022
SELL0190,West,3.3,170,6,2021
SELL0191,North,3.88,1137,3,2020
SELL0192,South,4.71,3911,5,2018
SELL0193,South,3.29,345,1,2020
SELL0194,West,4.15,3471,7,2024
SELL0195,South,3.68,3914,6,2022
SELL0196,East,3.63,3420,8,2023
SELL0197,North,4.96,631,9,2024
SELL0198,South,3.73,3009,7,2018
SELL0199,West,2.83,2125,5,2024
SELL0200,North,4.87,2198,8,2018
SELL0201,North,2.51,4703,6,2019
SELL0202,North,2.5,1518,6,2018
SELL0203,North,4.77,4985,3,2023
SELL0204,South,3.25,1107,6,2018
SELL0205,West,4.74,2793,9,2024
SELL0206,North,2.89,3822,5,2018
SELL0207,West,2.91,4435,6,2024
SELL0208,East,2.52,4152,6,2018
SELL0209,North,3.44,2174,9,2024
SELL0210,South,2.61,1048,4,2022
SELL0211,South,4.13,895,3,2021
SELL0212,North,3.46,2038,9,2022
SELL0213,North,4.44,1498,6,2023
SELL0214,North,4.91,1715,9,2018
SELL0215,South,3.03,3519,7,2023
SELL0216,South,3.67,2076,4,2020
SELL0217,West,3.93,3295,9,2019
SELL0218,West,4.18,1720,7,2020
SELL0219,East,2.88,4438,8,2023
SELL0220,West,3.93,2523,1,2023
SELL0221,South,3.92,566,9,2019
SELL0222,South,4.02,1618,3,2022
SELL0223,North,3.49,903,6,2018
SELL0224,East,2.86,103,7,2023
SELL0225,South,4.56,2467,7,2021
SELL0226,West,4.61,284,6,2021
SELL0227,South,3.04,3040,1,2024
SELL0228,East,4.85,1970,8,2020
SELL0229,East,4.01,2893,7,2019
SELL0230,East,4.22,2190,9,2021
SELL0231,North,2.56,270,3,2019
SELL0232,East,4.59,2454,8,2020
SELL0233,North,3.81,2181,2,2019
SELL0234,East,4.48,3887,1,2019
SELL0235,East,5.0,3378,7,2023
SELL0236,East,4.89,4101,8,2023
SELL0237,West,4.57,1294,4,2024
SELL0238,South,4.71,224,4,2020
SELL0239,South,3.86,2851,1,2019
SELL0240,West,3.94,461,3,2020
SELL0241,West,4.16,3323,2,2024
SELL0242,South,4.17,369,9,2021
SELL0243,South,3.69,3492,6,2020
SELL0244,West,2.69,2541,2,2023
SELL0245,West,4.35,1774,2,2021
SELL0246,South,3.31,1580,2,2020
SELL0247,South,3.16,4310,1,2020
SELL0248,South,3.29,2389,7,2024
SELL0249,East,4.07,287,5,2023
SELL0250,West,2.58,2172,2,2021
SELL0251,North,3.83,1887,4,2022
SELL0252,North,4.75,1232,6,2024
SELL0253,West,3.07,3223,2,2019
SELL0254,West,3.79,2126,4,2024
SELL0255,West,2.69,339,9,2020
SELL0256,East,2.96,3369,3,2020
SELL0257,West,4.36,3600,7,2022
SELL0258,North,4.93,3106,3,2018
SELL0259,South,3.7,849,5,2018
SELL0260,South,3.38,4236,2,2021
SELL0261,North,4.47,4685,1,2022
SELL0262,South,3.91,295,3,2018
SELL0263,South,4.31,4229,7,2024
SELL0264,North,2.83,438,8,2021
SELL0265,South,4.91,1756,3,2024
SELL0266,South,4.26,718,2,2021
SELL0267,North,3.23,3241,9,2023
SELL0268,North,4.7,3759,4,2021
SELL0269,West,2.69,2043,7,2019
SELL0270,North,3.22,1151,2,2018
SELL0271,North,3.77,2356,1,2018
SELL0272,North,4.13,4511,9,2022
SELL0273,North,4.58,1875,1,2020
SELL0274,North,4.31,4053,6,2020
SELL0275,North,3.79,4765,6,2022
SELL0276,East,3.43,748,9,2018
SELL0277,South,3.52,2201,3,2023
SELL0278,West,3.52,184,8,2023
SELL0279,East,4.88,2451,8,2021
SELL0280,West,2.58,3223,4,2019
SELL0281,East,3.98,4167,6,2021
SELL0282,North,3.04,2970,5,2024
SELL0283,North,2.59,4325,3,2019
SELL0284,East,2.56,4627,5,2019
SELL0285,South,4.36,2705,7,2022
SELL0286,West,4.52,3627,1,2023
SELL0287,West,4.87,4253,8,2018
SELL0288,East,4.58,3900,7,2018
SELL0289,North,2.79,3038,6,2024
SELL0290,West,3.47,4104,2,2019
SELL0291,East,3.45,3518,7,2024
SELL0292,West,3.89,586,7,2024
SELL0293,West,4.75,1170,2,2020
SELL0294,South,4.84,2290,1,2024
SELL0295,West,4.85,4810,7,2020
SELL0296,North,4.36,1614,1,2020
SELL0297,East,3.18,1445,7,2023
SELL0298,West,4.68,4010,5,2024
SELL0299,North,3.81,2178,6,2018
SELL0300,South,4.26,1358,8,2024
SELL0301,North,4.02,3736,8,2020
SELL0302,East,3.62,4981,2,2018
SELL0303,North,3.16,2592,3,2024
SELL0304,West,2.7,4906,4,2020
SELL0305,North,2.6,4291,2,2024
SELL0306,South,4.41,4307,7,2024
SELL0307,East,3.67,3508,2,2021
SELL0308,North,4.22,2941,3,2020
SELL0309,East,2.66,3302,6,2019
SELL0310,South,2.91,1324,4,2023
SELL0311,West,2.6,4780,2,2022
SELL0312,South,4.06,1800,7,2023
SELL0313,North,2.59,4474,9,2018
SELL0314,East,2.8,1969,9,2022
SELL0315,West,3.37,4445,7,2021
SELL0316,East,4.11,1925,3,2024
SELL0317,North,4.05,4378,5,2023
SELL0318,South,4.25,714,3,2022
SELL0319,West,3.06,3109,8,2021
SELL0320,North,3.09,3010,3,2020
SELL0321,North,3.24,3241,2,2022
SELL0322,East,2.91,1342,9,2022
SELL0323,North,3.74,1393,3,2020
SELL0324,South,4.14,1459,2,2018
SELL0325,South,4.06,2712,2,2019
SELL0326,North,2.93,340,7,2018
SELL0327,North,3.68,3658,5,2018
SELL0328,East,3.44,4239,8,2019
SELL0329,North,4.15,4949,7,2020
SELL0330,East,4.2,2659,1,2023
SELL0331,West,2.51,2119,5,2019
SELL0332,North,4.83,2455,9,2023
SELL0333,North,4.49,2820,7,2021
SELL0334,East,3.78,353,6,2021
SELL0335,South,4.37,2266,4,2020
SELL0336,West,3.21,1193,6,2018
SELL0337,North,3.29,280,4,2022
SELL0338,South,4.15,3723,7,2021
SELL0339,North,3.26,1663,1,2023
SELL0340,North,3.1,1662,8,2023
SELL0341,East,4.94,1117,5,2024
SELL0342,South,2.96,857,4,2020
SELL0343,East,2.95,3684,6,2023
SELL0344,South,3.82,2767,2,2018
SELL0345,North,2.9,1599,9,2021
SELL0346,South,3.78,3653,1,2022
SELL0347,West,4.83,2315,7,2023
SELL0348,West,2.59,1551,1,2023
SELL0349,West,4.74,3230,9,2024
SELL0350,North,3.94,2940,6,2021
SELL0351,East,2.5,1118,4,2024
SELL0352,South,4.04,3910,4,2021
SELL0353,East,2.86,1088,3,2021
SELL0354,South,3.26,2177,9,2019
SELL0355,South,2.76,4144,4,2022
SELL0356,East,4.17,176,9,2020
SELL0357,South,4.89,4287,3,2018
SELL0358,East,3.83,3770,8,2019
SELL0359,East,4.11,1046,2,2021
SELL0360,East,4.58,3586,4,2024
SELL0361,South,4.38,4630,4,2019
SELL0362,North,4.57,567,3,2020
SELL0363,West,3.4,1806,9,2020
SELL0364,North,3.5,705,3,2020
SELL0365,North,3.05,864,6,2021
SELL0366,West,4.5,3451,6,2019
SELL0367,West,4.26,234,4,2021
SELL0368,East,4.52,3362,5,2023
SELL0369,East,4.04,2140,5,2018
SELL0370,East,4.24,1996,5,2022
SELL0371,East,4.58,2761,3,2023
SELL0372,South,3.99,1923,5,2020
SELL0373,North,3.09,2761,6,2020
SELL0374,South,3.64,4178,3,2019
SELL0375,South,4.29,4798,8,2022
SELL0376,East,4.58,689,7,2018
SELL0377,North,3.87,4845,3,2019
SELL0378,East,4.79,4860,8,2019
SELL0379,South,2.93,1993,3,2020
SELL0380,South,4.44,3326,1,2020
SELL0381,North,2.51,4201,2,2020
SELL0382,South,4.07,1109,9,2023
SELL0383,North,4.94,253,6,2021
SELL0384,North,3.05,2367,3,2020
SELL0385,South,3.52,1045,1,2020
SELL0386,South,2.99,1595,5,2018
SELL0387,East,3.38,2986,5,2019
SELL0388,West,2.79,3187,6,2023
SELL0389,East,3.83,578,2,2019
SELL0390,East,3.02,1076,3,2023
SELL0391,North,3.81,2657,5,2022
SELL0392,West,4.7,3139,1,2022
SELL0393,West,3.44,3380,7,2024
SELL0394,East,4.24,2325,4,2023
SELL0395,East,4.04,463,7,2021
SELL0396,North,3.1,3849,2,2023
SELL0397,South,3.9,717,7,2023
SELL0398,East,4.5,293,5,2020
SELL0399,North,3.96,4302,1,2024
SELL0400,West,2.73,4979,3,2022
SELL0401,West,3.04,2773,1,2023
SELL0402,South,3.84,2689,7,2019
SELL0403,North,4.35,193,3,2024
SELL0404,South,4.45,3046,9,2019
SELL0405,East,3.08,1545,7,2023
SELL0406,South,3.91,654,5,2020
SELL0407,South,3.05,1731,2,2024
SELL0408,North,4.4,3239,2,2024
SELL0409,North,4.51,2122,7,2018
SELL0410,West,3.36,4187,8,2020
SELL0411,West,4.61,2957,2,2024
SELL0412,South,2.7,4755,7,2022
SELL0413,North,4.29,4972,9,2023
SELL0414,East,3.4,2177,7,2021
SELL0415,North,3.31,1689,4,2020
SELL0416,West,3.74,3019,8,2019
SELL0417,North,4.04,405,2,2019
SELL0418,East,4.71,1064,4,2024
SELL0419,East,3.16,2352,1,2019
SELL0420,West,3.69,735,3,2023
SELL0421,East,4.49,137,1,2023
SELL0422,South,3.96,2154,6,2021
SELL0423,West,4.13,2341,1,2023
SELL0424,South,3.86,1141,7,2020
SELL0425,North,4.25,3776,5,2024
SELL0426,East,4.43,4657,8,2024
SELL0427,West,3.87,155,1,2020
SELL0428,South,3.17,3279,4,2024
SELL0429,West,2.92,2203,6,2023
SELL0430,East,2.52,1508,3,2019
SELL0431,East,2.54,3473,9,2022
SELL0432,South,4.23,936,1,2019
SELL0433,East,3.61,2657,9,2021
SELL0434,West,3.59,1497,7,2021
SELL0435,South,3.85,1175,3,2018
SELL0436,South,3.67,1513,5,2020
SELL0437,East,4.1,2153,5,2018
SELL0438,South,4.8,3252,3,2021
SELL0439,East,2.61,327,2,2022
SELL0440,South,3.04,1055,1,2020
SELL0441,West,2.52,2762,2,2019
SELL0442,North,3.36,3635,6,2019
SELL0443,East,3.11,2522,6,2023
SELL0444,West,3.99,4389,7,2022
SELL0445,South,4.43,4471,2,2024
SELL0446,North,4.45,2102,9,2020
SELL0447,West,4.66,2390,5,2023
SELL0448,South,2.85,4852,3,2021
SELL0449,East,4.95,3132,7,2019
SELL0450,East,2.66,1723,9,2022
SELL0451,East,2.86,4796,8,2022
SELL0452,West,3.45,4678,7,2018
SELL0453,West,2.85,2294,5,2024
SELL0454,West,4.96,4355,4,2019
SELL0455,West,2.95,239,3,2018
SELL0456,East,3.29,1673,2,2018
SELL0457,North,4.27,4072,2,2020
SELL0458,South,4.81,1933,1,2024
SELL0459,East,4.66,4302,4,2023
SELL0460,South,3.52,4086,3,2018
SELL0461,West,4.23,3957,9,2024
SELL0462,South,3.07,4643,4,2024
SELL0463,North,3.3,3716,8,2022
SELL0464,West,2.52,2372,8,2019
SELL0465,North,3.3,4269,1,2022
SELL0466,North,2.99,3857,3,2018
SELL0467,North,3.4,1196,4,2021
SELL0468,South,4.28,2478,5,2023
SELL0469,East,3.31,3314,6,2022
SELL0470,West,2.76,4707,9,2020
SELL0471,East,2.55,1957,5,2023
SELL0472,West,4.23,3864,6,2024
SELL0473,West,4.04,2546,4,2023
SELL0474,South,2.87,1412,9,2020
SELL0475,North,3.39,1907,6,2018
SELL0476,West,4.63,1097,4,2019
SELL0477,North,2.52,698,4,2020
SELL0478,South,3.45,2402,1,2019
SELL0479,West,4.09,1254,1,2019
SELL0480,East,4.62,1091,9,2024
SELL0481,East,3.98,1565,8,2024
SELL0482,East,4.24,1643,9,2019
SELL0483,West,2.85,1371,5,2022
SELL0484,East,3.2,1813,2,2022
SELL0485,North,3.6,582,1,2018
SELL0486,North,3.7,3279,2,2023
SELL0487,South,3.34,4370,1,2020
SELL0488,South,4.76,3605,9,2021
SELL0489,South,4.28,1695,1,2018
SELL0490,East,4.77,4535,9,2024
SELL0491,North,4.24,3446,9,2024
SELL0492,East,3.4,307,6,2020
SELL0493,East,2.72,2057,4,2018
SELL0494,East,2.68,532,1,2020
SELL0495,East,3.87,4778,2,2024
SELL0496,East,3.48,738,5,2021
SELL0497,North,4.43,2296,2,2023
SELL0498,East,4.9,4660,9,2019
SELL0499,South,3.88,2427,3,2021
SELL0500,East,2.88,2834,9,2020
